1.31,138
1.32,138
1.33,136
1.34,139
2.2,140
4.2,140
5.2,138
5.71,138
5.72,136
8.2,138
9.2,138
9.101,138
9.102,138
9.103,140
11.1,138
12.2,140
14.2,138
14.3,135
14.4,138
14.5,138
14.6,138
15.2,138
16.2,139
16.181,138
16.182,136
17.2,139
19.2,139
19.3,139
20.2,139
21.1,136
23.2,132
26.2,136
29.2,138
29.3,138
29.4,138
29.5,138
29.6,138
29.7,130
29.8,138
30.2,138
31.2,140
32.2,138
33.2,138
34.2,130
35.2,130
37.2,138
38.2,135
38.3,135
38.4,138
38.5,135
39.2,138
40.2,130
41.2,136
42.2,130
43.1,126
45.2,138
46.2,130
47.2,130
48.2,128
49.2,138
49.3,132
50.2,132
50.3,128
50.4,138
50.5,132
50.7,135
51.2,139
52.2,132
52.3,139
52.4,138
54.2,134
55.2,138
55.3,132
57.2,138
58.2,138
59.2,138
59.3,138
59.4,130
59.5,126
61.2,128
62.2,128
62.3,128
62.4,141
62.5,133
62.6,136
62.7,128
62.8,128
64.2,136
64.3,138
65.2,137
66.2,130
67.2,140
68.2,130
69.2,135
69.3,138
70.2,138
71.2,134
71.3,134
71.4,134
72.2,136
73.4,136
73.5,130
74.2,135
75.2,134
75.3,135
76.3,133
77.3,132
77.4,136
77.5,125
77.6,130
77.7,130
77.8,125
77.9,130
78.2,128
79.2,139
81.2,132
81.3,137
81.4,136
82.2,135
82.3,133
82.4,128
84.2,138
85.2,130
85.3,132
86.1,135
86.2,135
87.2,138
89.2,129
91.2,136
91.3,140
91.4,125
91.5,125
93.2,135
93.3,140
94.2,125
94.4,130
94.5,128
94.6,131
94.7,130
94.8,136
94.9,136
95.2,130
96.2,135
97.2,136
98.2,134
99.2,138
101.2,138
102.2,130
102.3,130
103.3,135
103.4,138
103.5,132
104.2,136
105.2,137
107.2,126
107.3,132
107.4,132
107.5,129
109.2,134
110.2,130
110.3,128
110.5,130
111.2,128
111.3,134
111.4,128
112.3,137
115.2,138
118.2,127
118.3,133
119.2,130
119.3,134
119.4,128
119.5,131
119.6,138
120.2,138
121.2,132
122.2,134
122.3,134
124.1,138
124.3,138
124.4,128
124.5,126
124.8,128
125.2,138
125.3,130
125.4,138
126.2,140
128.3,130
129.2,137
130.2,138
130.3,132
131.1,134
131.3,134
131.4,128
131.5,128
132.2,134
133.2,136
134.2,130
136.2,130
138.2,130
138.3,138
139.2,130
139.3,139
140.2,132
142.2,138
142.3,136
143.2,132
145.2,134
145.3,138
1,138
2,138
4,140
5,136
8,139
9,138
11,138
12,138
14,138
15,140
16,138
17,138
19,138
20,138
21,136
23,140
26,138
29,138
30,139
31,136
32,136
33,138
34,140
35,135
37,139
38,135
39,138
40,136
41,138
42,140
43,130
45,140
46,138
47,130
48,138
49,132
50,138
51,139
52,138
54,138
55,138
57,134
58,138
59,138
61,138
62,133
64,134
65,137
66,137
67,140
68,138
69,138
70,138
71,134
72,136
73,135
74,132
75,134
76,137
77,138
78,134
79,137
81,136
82,135
84,136
85,138
86,132
87,140
89,137
91,138
93,136
94,138
95,138
96,130
97,136
98,134
99,132
101,138
102,133
103,135
104,136
105,137
107,138
109,134
110,130
111,128
112,137
115,131
118,130
119,138
120,138
121,128
122,138
124,136
125,138
126,137
128,130
129,137
130,130
131,134
132,138
133,138
134,138
136,138
138,132
139,134
140,132
142,136
143,129
145,136




